val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
0.6165913939476013,0.557894766330719,0.5,0.0,0.0,0,13,,,,,
,,,,,0,13,0.6550436615943909,,,,
0.6175842881202698,0.557894766330719,0.5,0.0,0.0,1,27,,,,,
,,,,,1,27,0.6369074583053589,,,,
0.6193382143974304,0.557894766330719,0.5,0.0,0.0,2,41,,,,,
,,,,,2,41,0.5979808568954468,,,,
0.6152504682540894,0.557894766330719,0.5,0.0,0.0,3,55,,,,,
,,,,,3,55,0.5094415545463562,,,,
0.6147018671035767,0.557894766330719,0.5,0.0,0.0,4,69,,,,,
,,,,,4,69,0.4765452444553375,,,,
,,,,,5,70,,0.5569620132446289,0.5,0.0,0.0
,,,,,5,70,,0.5569620132446289,0.5,0.0,0.0
,,,,,5,70,,0.5569620132446289,0.5,0.0,0.0
