val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
0.4944458305835724,0.821052610874176,0.8099730610847473,0.8571428656578064,0.7142857313156128,0,26,,,,,
,,,,,0,26,0.39722490310668945,,,,
0.4325023591518402,0.8421052694320679,0.831311821937561,0.8857142925262451,0.738095223903656,1,53,,,,,
,,,,,1,53,0.2983444035053253,,,,
0.5455055236816406,0.800000011920929,0.7911050915718079,0.8108107447624207,0.7142857313156128,2,80,,,,,
,,,,,2,80,0.26604560017585754,,,,
0.39949193596839905,0.7684210538864136,0.767744779586792,0.7272727489471436,0.761904776096344,3,107,,,,,
,,,,,3,107,0.22615356743335724,,,,
0.4888851046562195,0.7894737124443054,0.7792003154754639,0.8055555820465088,0.6904761791229248,4,134,,,,,
,,,,,4,134,0.14626704156398773,,,,
0.6122549772262573,0.7789473533630371,0.7771788239479065,0.7441861033439636,0.761904776096344,5,161,,,,,
,,,,,5,161,0.17343267798423767,,,,
0.45842450857162476,0.800000011920929,0.796046793460846,0.7804877758026123,0.761904776096344,6,188,,,,,
,,,,,6,188,0.16111081838607788,,,,
0.6163086295127869,0.8105263113975525,0.8005390167236328,0.8333333134651184,0.7142857313156128,7,215,,,,,
,,,,,7,215,0.07627257704734802,,,,
0.5534654259681702,0.8105263113975525,0.8030098080635071,0.8157894611358643,0.738095223903656,8,242,,,,,
,,,,,8,242,0.10776709020137787,,,,
0.5254846215248108,0.8315789699554443,0.8342319130897522,0.782608687877655,0.8571428656578064,9,269,,,,,
,,,,,9,269,0.09227731823921204,,,,
0.5869325399398804,0.8315789699554443,0.8268193006515503,0.824999988079071,0.7857142686843872,10,296,,,,,
,,,,,10,296,0.04205489531159401,,,,
0.7444083094596863,0.821052610874176,0.8099730610847473,0.8571428656578064,0.7142857313156128,11,323,,,,,
,,,,,11,323,0.09043890237808228,,,,
0.5941161513328552,0.8526315689086914,0.8555705547332764,0.804347813129425,0.8809523582458496,12,350,,,,,
,,,,,12,350,0.08778700232505798,,,,
0.5935293436050415,0.8526315689086914,0.8555705547332764,0.804347813129425,0.8809523582458496,13,377,,,,,
,,,,,13,377,0.034217290580272675,,,,
0.6338329315185547,0.821052610874176,0.8198562860488892,0.7906976938247681,0.8095238208770752,14,404,,,,,
,,,,,14,404,0.04754961282014847,,,,
0.8149446249008179,0.821052610874176,0.8322102427482605,0.7358490824699402,0.9285714626312256,15,431,,,,,
,,,,,15,431,0.02925986424088478,,,,
0.6286166310310364,0.821052610874176,0.8173854351043701,0.8048780560493469,0.7857142686843872,16,458,,,,,
,,,,,16,458,0.06835634261369705,,,,
0.7073106169700623,0.8105263113975525,0.7980683445930481,0.8529411554336548,0.6904761791229248,17,485,,,,,
,,,,,17,485,0.03796109929680824,,,,
0.5438380837440491,0.8526315689086914,0.8481580018997192,0.8500000238418579,0.8095238208770752,18,512,,,,,
,,,,,18,512,0.07362568378448486,,,,
0.5067621469497681,0.8421052694320679,0.8387241363525391,0.8292682766914368,0.8095238208770752,19,539,,,,,
,,,,,19,539,0.029533136636018753,,,,
0.7206636667251587,0.8105263113975525,0.8054806590080261,0.800000011920929,0.761904776096344,20,566,,,,,
,,,,,20,566,0.004963468294590712,,,,
0.8085614442825317,0.8421052694320679,0.8387241363525391,0.8292682766914368,0.8095238208770752,21,593,,,,,
,,,,,21,593,0.00919292401522398,,,,
0.9024172425270081,0.8105263113975525,0.8030098080635071,0.8157894611358643,0.738095223903656,22,620,,,,,
,,,,,22,620,0.018300630152225494,,,,
0.7247351408004761,0.8105263113975525,0.817834734916687,0.7400000095367432,0.8809523582458496,23,647,,,,,
,,,,,23,647,0.045600321143865585,,,,
0.6753206849098206,0.7894737124443054,0.7890835404396057,0.75,0.7857142686843872,24,674,,,,,
,,,,,24,674,0.05350972339510918,,,,
0.722592830657959,0.8315789699554443,0.8194069862365723,0.8823529481887817,0.7142857313156128,25,701,,,,,
,,,,,25,701,0.029113683849573135,,,,
0.5957353711128235,0.8526315689086914,0.8481580018997192,0.8500000238418579,0.8095238208770752,26,728,,,,,
,,,,,26,728,0.0072255246341228485,,,,
0.7111316323280334,0.8421052694320679,0.8337825536727905,0.8648648858070374,0.761904776096344,27,755,,,,,
,,,,,27,755,0.008009882643818855,,,,
0.8005012273788452,0.8421052694320679,0.8337825536727905,0.8648648858070374,0.761904776096344,28,782,,,,,
,,,,,28,782,0.004908671136945486,,,,
0.8750355243682861,0.8421052694320679,0.828840970993042,0.9090909361839294,0.7142857313156128,29,809,,,,,
,,,,,29,809,0.0013692582724615932,,,,
0.8127586841583252,0.8526315689086914,0.8432164788246155,0.8888888955116272,0.761904776096344,30,836,,,,,
,,,,,30,836,0.0011737790191546082,,,,
0.9090844988822937,0.800000011920929,0.7836927175521851,0.8709677457809448,0.6428571343421936,31,863,,,,,
,,,,,31,863,0.018128711730241776,,,,
0.7176697850227356,0.8421052694320679,0.83625328540802,0.8461537957191467,0.7857142686843872,32,890,,,,,
,,,,,32,890,0.017762189731001854,,,,
0.962313175201416,0.821052610874176,0.8198562860488892,0.7906976938247681,0.8095238208770752,33,917,,,,,
,,,,,33,917,0.045714788138866425,,,,
0.5243589282035828,0.8526315689086914,0.8506287932395935,0.8333333134651184,0.8333333134651184,34,944,,,,,
,,,,,34,944,0.07568248361349106,,,,
0.5678194761276245,0.8421052694320679,0.8387241363525391,0.8292682766914368,0.8095238208770752,35,971,,,,,
,,,,,35,971,0.027098678052425385,,,,
0.7708513140678406,0.821052610874176,0.8247978687286377,0.7659574747085571,0.8571428656578064,36,998,,,,,
,,,,,36,998,0.012440701946616173,,,,
0.7750412225723267,0.75789475440979,0.7558401226997375,0.7209302186965942,0.738095223903656,37,1025,,,,,
,,,,,37,1025,0.0528881698846817,,,,
,,,,,38,1026,,0.8093220591545105,0.811188817024231,0.76106196641922,0.8269230723381042
,,,,,38,1026,,0.7669491767883301,0.7753496766090393,0.6929134726524353,0.8461538553237915
,,,,,38,1026,,0.7838982939720154,0.7854020595550537,0.7345132827758789,0.7980769276618958
