val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
0.5412484407424927,0.7263157963752747,0.6954177618026733,0.8999999761581421,0.4285714328289032,0,26,,,,,
,,,,,0,26,0.5344105362892151,,,,
0.37611860036849976,0.75789475440979,0.7558401226997375,0.7209302186965942,0.738095223903656,1,53,,,,,
,,,,,1,53,0.3739764392375946,,,,
0.3430668115615845,0.8526315689086914,0.8506287932395935,0.8333333134651184,0.8333333134651184,2,80,,,,,
,,,,,2,80,0.36329686641693115,,,,
0.3842781186103821,0.8526315689086914,0.8382750153541565,0.9375,0.7142857313156128,3,107,,,,,
,,,,,3,107,0.2645121216773987,,,,
0.44717133045196533,0.8421052694320679,0.8337825536727905,0.8648648858070374,0.761904776096344,4,134,,,,,
,,,,,4,134,0.21955494582653046,,,,
,,,,,5,135,,0.7627118825912476,0.7542248964309692,0.7553191781044006,0.682692289352417
,,,,,5,135,,0.7627118825912476,0.7542248964309692,0.7553191781044006,0.682692289352417
,,,,,5,135,,0.7796609997749329,0.7683566212654114,0.7954545617103577,0.6730769276618958
