val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
175.74925231933594,0.557894766330719,0.5,0.0,0.0,0,26,,,,,
,,,,,0,26,200.35964965820312,,,,
174.32485961914062,0.557894766330719,0.5,0.0,0.0,1,53,,,,,
,,,,,1,53,198.71905517578125,,,,
172.88392639160156,0.557894766330719,0.5,0.0,0.0,2,80,,,,,
,,,,,2,80,197.11302185058594,,,,
171.4991912841797,0.557894766330719,0.5,0.0,0.0,3,107,,,,,
,,,,,3,107,195.44314575195312,,,,
170.01133728027344,0.557894766330719,0.5,0.0,0.0,4,134,,,,,
,,,,,4,134,193.840576171875,,,,
168.56521606445312,0.557894766330719,0.5,0.0,0.0,5,161,,,,,
,,,,,5,161,192.19384765625,,,,
167.14102172851562,0.557894766330719,0.5,0.0,0.0,6,188,,,,,
,,,,,6,188,190.5725555419922,,,,
165.7382354736328,0.557894766330719,0.5,0.0,0.0,7,215,,,,,
,,,,,7,215,188.9335174560547,,,,
164.3150177001953,0.557894766330719,0.5,0.0,0.0,8,242,,,,,
,,,,,8,242,187.30287170410156,,,,
162.8260498046875,0.557894766330719,0.5,0.0,0.0,9,269,,,,,
,,,,,9,269,185.70777893066406,,,,
161.4499969482422,0.557894766330719,0.5,0.0,0.0,10,296,,,,,
,,,,,10,296,184.04541015625,,,,
159.9892120361328,0.557894766330719,0.5,0.0,0.0,11,323,,,,,
,,,,,11,323,182.4586181640625,,,,
158.5941619873047,0.557894766330719,0.5,0.0,0.0,12,350,,,,,
,,,,,12,350,180.80770874023438,,,,
157.12315368652344,0.557894766330719,0.5,0.0,0.0,13,377,,,,,
,,,,,13,377,179.21849060058594,,,,
155.72279357910156,0.557894766330719,0.5,0.0,0.0,14,404,,,,,
,,,,,14,404,177.55740356445312,,,,
154.26739501953125,0.557894766330719,0.5,0.0,0.0,15,431,,,,,
,,,,,15,431,175.9468994140625,,,,
152.85401916503906,0.557894766330719,0.5,0.0,0.0,16,458,,,,,
,,,,,16,458,174.30906677246094,,,,
151.46005249023438,0.557894766330719,0.5,0.0,0.0,17,485,,,,,
,,,,,17,485,172.68316650390625,,,,
149.9798126220703,0.557894766330719,0.5,0.0,0.0,18,512,,,,,
,,,,,18,512,171.0921173095703,,,,
148.56607055664062,0.557894766330719,0.5,0.0,0.0,19,539,,,,,
,,,,,19,539,169.4456024169922,,,,
147.1483154296875,0.557894766330719,0.5,0.0,0.0,20,566,,,,,
,,,,,20,566,167.8116912841797,,,,
145.6829833984375,0.557894766330719,0.5,0.0,0.0,21,593,,,,,
,,,,,21,593,166.1930389404297,,,,
144.27809143066406,0.557894766330719,0.5,0.0,0.0,22,620,,,,,
,,,,,22,620,164.54302978515625,,,,
142.82583618164062,0.557894766330719,0.5,0.0,0.0,23,647,,,,,
,,,,,23,647,162.9300537109375,,,,
141.3852081298828,0.557894766330719,0.5,0.0,0.0,24,674,,,,,
,,,,,24,674,161.29998779296875,,,,
139.96969604492188,0.557894766330719,0.5,0.0,0.0,25,701,,,,,
,,,,,25,701,159.66282653808594,,,,
,,,,,26,702,,0.5593220591545105,0.5,0.0,0.0
,,,,,26,702,,0.5593220591545105,0.5,0.0,0.0
,,,,,26,702,,0.5593220591545105,0.5,0.0,0.0
